human,machine
monday january 18 2010,2010-01-18
october 20 1995,1995-10-20
22 jan 1996,1996-01-22
21 10 90,1990-10-21
august 18 1988,1988-08-18
01 apr 1987,1987-04-01
09 jul 1983,1983-07-09
5 may 1994,1994-05-05
friday march 11 2011,2011-03-11
sunday august 5 2007,2007-08-05
saturday april 20 2013,2013-04-20
monday december 19 1994,1994-12-19
tuesday november 17 2009,2009-11-17
wednesday november 7 2018,2018-11-07
13 nov 1993,1993-11-13
saturday november 28 1992,1992-11-28
30 aug 1987,1987-08-30
tuesday november 2 1993,1993-11-02
sunday december 7 2008,2008-12-07
november 24 1979,1979-11-24
19 january 1983,1983-01-19
friday june 30 2017,2017-06-30
sunday august 26 2001,2001-08-26
3 february 1996,1996-02-03
monday january 9 1978,1978-01-09
sunday may 6 2007,2007-05-06
june 9 1983,1983-06-09
20 july 1992,1992-07-20
12 july 1999,1999-07-12
19 jul 1981,1981-07-19
sunday january 11 1987,1987-01-11
25 09 80,1980-09-25
8/27/83,1983-08-27
05.12.89,1989-12-05
friday september 15 1972,1972-09-15
dec 7 1976,1976-12-07
monday september 23 1996,1996-09-23
july 27 1985,1985-07-27
sunday march 17 1991,1991-03-17
friday july 18 2014,2014-07-18
11.12.17,2017-12-11
sunday april 9 2017,2017-04-09
14 march 2017,2017-03-14
friday october 23 1998,1998-10-23
thursday april 18 2002,2002-04-18
tuesday april 7 1998,1998-04-07
20 jul 2013,2013-07-20
tuesday october 25 1988,1988-10-25
08 aug 2014,2014-08-08
2 apr 2000,2000-04-02
23 apr 1989,1989-04-23
12.08.94,1994-08-12
15 03 75,1975-03-15
thursday july 23 1998,1998-07-23
tuesday july 20 1976,1976-07-20
thursday july 18 1991,1991-07-18
january 30 1997,1997-01-30
07.09.09,2009-09-07
13 nov 2002,2002-11-13
friday may 10 2013,2013-05-10
friday june 25 2004,2004-06-25
16 dec 1993,1993-12-16
17 december 2001,2001-12-17
thursday august 2 2012,2012-08-02
13 12 91,1991-12-13
13 november 1991,1991-11-13
tuesday february 29 1972,1972-02-29
wednesday march 11 1970,1970-03-11
october 10 1996,1996-10-10
10/6/83,1983-10-06
26 mar 2012,2012-03-26
march 17 1987,1987-03-17
16 january 1977,1977-01-16
sunday august 29 2010,2010-08-29
friday june 25 1982,1982-06-25
wednesday april 9 2014,2014-04-09
july 17 1993,1993-07-17
21 may 2010,2010-05-21
october 26 1986,1986-10-26
sunday december 9 1990,1990-12-09
monday october 7 2013,2013-10-07
26 jan 1999,1999-01-26
january 7 1991,1991-01-07
sunday november 14 1982,1982-11-14
september 3 2005,2005-09-03
friday february 18 2000,2000-02-18
saturday february 13 1993,1993-02-13
03 jun 1983,1983-06-03
07 may 1995,1995-05-07
9 oct 1984,1984-10-09
saturday june 16 2001,2001-06-16
saturday august 7 1993,1993-08-07
8 10 03,2003-10-08
11 december 2008,2008-12-11
17.10.74,1974-10-17
04 dec 1981,1981-12-04
sunday november 5 2017,2017-11-05
16 mar 2012,2012-03-16
friday october 5 1984,1984-10-05
10 february 2000,2000-02-10
tuesday october 2 1979,1979-10-02
september 9 1997,1997-09-09
27 may 2015,2015-05-27
12 april 2004,2004-04-12
january 16 1973,1973-01-16
5 september 1976,1976-09-05
tuesday july 29 1986,1986-07-29
january 15 2003,2003-01-15
saturday april 26 2003,2003-04-26
january 8 1977,1977-01-08
saturday may 9 1998,1998-05-09
22.12.14,2014-12-22
thursday february 10 2011,2011-02-10
9/9/83,1983-09-09
12 october 2003,2003-10-12
friday september 18 1981,1981-09-18
18 nov 1997,1997-11-18
april 24 2000,2000-04-24
january 21 1985,1985-01-21
monday june 20 2011,2011-06-20
thursday september 1 2016,2016-09-01
friday august 15 2008,2008-08-15
13 oct 2013,2013-10-13
friday august 10 1979,1979-08-10
11 feb 1981,1981-02-11
aug 12 1993,1993-08-12
05 sep 2009,2009-09-05
30 october 1994,1994-10-30
thursday february 26 1998,1998-02-26
friday may 15 1987,1987-05-15
tuesday april 7 1981,1981-04-07
january 11 1979,1979-01-11
august 4 1992,1992-08-04
august 13 1997,1997-08-13
3/29/98,1998-03-29
10 july 1987,1987-07-10
friday july 19 2013,2013-07-19
wednesday september 18 1996,1996-09-18
18 02 17,2017-02-18
monday december 25 1972,1972-12-25
20 april 2003,2003-04-20
22 may 2007,2007-05-22
monday june 10 1974,1974-06-10
saturday january 19 1980,1980-01-19
11 august 2006,2006-08-11
september 3 1983,1983-09-03
april 25 1994,1994-04-25
27 october 2017,2017-10-27
23.02.82,1982-02-23
december 11 1989,1989-12-11
10/17/81,1981-10-17
24.11.89,1989-11-24
29 nov 1981,1981-11-29
saturday november 19 1988,1988-11-19
18 apr 1974,1974-04-18
12.08.70,1970-08-12
thursday august 7 2008,2008-08-07
friday february 7 1997,1997-02-07
monday june 18 1984,1984-06-18
august 12 2003,2003-08-12
27 sep 1973,1973-09-27
18 october 2001,2001-10-18
3 nov 1991,1991-11-03
december 20 1984,1984-12-20
june 19 2008,2008-06-19
monday december 18 1972,1972-12-18
22 03 13,2013-03-22
monday june 29 1992,1992-06-29
monday october 19 1970,1970-10-19
monday august 27 2018,2018-08-27
4 feb 1997,1997-02-04
sunday january 6 1974,1974-01-06
26 07 82,1982-07-26
may 2 2004,2004-05-02
6 12 73,1973-12-06
saturday february 27 1988,1988-02-27
friday may 8 1970,1970-05-08
wednesday july 24 1996,1996-07-24
saturday january 13 2007,2007-01-13
14.04.80,1980-04-14
1/17/97,1997-01-17
12/9/06,2006-12-09
friday november 11 1983,1983-11-11
5 nov 2010,2010-11-05
24 mar 1996,1996-03-24
5 july 1982,1982-07-05
sunday december 21 1975,1975-12-21
12 december 2016,2016-12-12
monday may 2 1977,1977-05-02
oct 14 1970,1970-10-14
monday june 30 2003,2003-06-30
february 16 1974,1974-02-16
january 5 2019,2019-01-05
november 4 2018,2018-11-04
jun 30 2013,2013-06-30
february 13 2009,2009-02-13
march 21 2016,2016-03-21
10 july 1974,1974-07-10
thursday november 12 2009,2009-11-12
april 12 2006,2006-04-12
28 october 2015,2015-10-28
6 january 1988,1988-01-06
17 oct 2005,2005-10-17
february 26 1995,1995-02-26
saturday january 13 2001,2001-01-13
thursday january 8 2015,2015-01-08
16 february 2010,2010-02-16
1 dec 2007,2007-12-01
thursday may 7 1998,1998-05-07
monday october 30 2006,2006-10-30
09 jan 1977,1977-01-09
15 july 1981,1981-07-15
july 23 1973,1973-07-23
saturday march 20 1982,1982-03-20
thursday august 2 1990,1990-08-02
19 sep 2013,2013-09-19
saturday september 25 1982,1982-09-25
15 sep 2011,2011-09-15
wednesday may 27 1992,1992-05-27
friday march 31 2000,2000-03-31
monday december 14 2015,2015-12-14
30 august 1990,1990-08-30
4 04 15,2015-04-04
saturday december 14 1991,1991-12-14
7 february 2009,2009-02-07
28 january 2018,2018-01-28
thursday july 27 1972,1972-07-27
wednesday february 14 2018,2018-02-14
friday january 4 2002,2002-01-04
sunday november 27 2011,2011-11-27
march 24 1973,1973-03-24
7 june 2018,2018-06-07
8 march 2008,2008-03-08
september 28 2015,2015-09-28
22 mar 1985,1985-03-22
monday august 10 1998,1998-08-10
17 mar 1974,1974-03-17
wednesday february 4 1970,1970-02-04
october 2 2001,2001-10-02
wednesday february 18 2009,2009-02-18
july 14 1976,1976-07-14
friday november 7 1997,1997-11-07
friday april 23 1982,1982-04-23
august 9 2011,2011-08-09
march 11 1993,1993-03-11
saturday may 3 1975,1975-05-03
17 aug 1998,1998-08-17
friday june 15 2001,2001-06-15
thursday august 19 1976,1976-08-19
11 apr 1996,1996-04-11
sunday august 19 2018,2018-08-19
21 june 2008,2008-06-21
5/30/80,1980-05-30
12.05.80,1980-05-12
thursday january 3 2013,2013-01-03
apr 10 1975,1975-04-10
august 29 1999,1999-08-29
wednesday june 23 2004,2004-06-23
28.08.17,2017-08-28
tuesday march 6 2012,2012-03-06
saturday august 13 1977,1977-08-13
3/27/74,1974-03-27
20 apr 1985,1985-04-20
10/4/15,2015-10-04
5 may 1979,1979-05-05
sunday march 17 1996,1996-03-17
thursday april 15 1971,1971-04-15
26 apr 1989,1989-04-26
7 oct 1987,1987-10-07
25 february 2006,2006-02-25
may 15 1984,1984-05-15
3 january 1975,1975-01-03
tuesday july 7 1998,1998-07-07
tuesday august 25 2015,2015-08-25
17 jan 1986,1986-01-17
17 july 2014,2014-07-17
monday september 20 1999,1999-09-20
september 23 1990,1990-09-23
30 october 2000,2000-10-30
saturday may 7 1994,1994-05-07
6 apr 1999,1999-04-06
27 march 1982,1982-03-27
3 december 2000,2000-12-03
wednesday april 21 1982,1982-04-21
23 february 1979,1979-02-23
may 3 2001,2001-05-03
03.07.13,2013-07-03
wednesday august 11 1976,1976-08-11
8 june 2015,2015-06-08
jun 17 1977,1977-06-17
24 november 1998,1998-11-24
wednesday january 31 1973,1973-01-31
28 01 98,1998-01-28
tuesday october 24 2006,2006-10-24
august 8 1974,1974-08-08
august 29 1981,1981-08-29
saturday july 18 1981,1981-07-18
wednesday january 13 1999,1999-01-13
july 11 1971,1971-07-11
april 2 1997,1997-04-02
18 sep 2018,2018-09-18
23 feb 2008,2008-02-23
january 31 1974,1974-01-31
thursday september 24 1981,1981-09-24
11.08.90,1990-08-11
mar 1 1986,1986-03-01
4 april 1972,1972-04-04
monday november 10 2008,2008-11-10
monday august 14 2000,2000-08-14
8 dec 2017,2017-12-08
02.10.13,2013-10-02
sunday december 26 1999,1999-12-26
friday march 10 1989,1989-03-10
10.10.99,1999-10-10
28 feb 1994,1994-02-28
24 07 99,1999-07-24
feb 11 2009,2009-02-11
4/11/94,1994-04-11
monday august 13 1979,1979-08-13
saturday march 4 1995,1995-03-04
saturday march 8 1997,1997-03-08
november 22 2008,2008-11-22
march 18 1993,1993-03-18
12 oct 1994,1994-10-12
2 aug 2012,2012-08-02
tuesday june 15 1993,1993-06-15
may 24 1974,1974-05-24
monday april 17 1995,1995-04-17
8 12 79,1979-12-08
29 aug 2001,2001-08-29
january 20 1999,1999-01-20
saturday july 22 1978,1978-07-22
10 jan 1972,1972-01-10
9 october 2013,2013-10-09
03 jun 1995,1995-06-03
tuesday may 28 1985,1985-05-28
monday july 18 1994,1994-07-18
tuesday december 23 2003,2003-12-23
27 dec 1974,1974-12-27
10 09 73,1973-09-10
jun 11 1986,1986-06-11
may 22 2003,2003-05-22
6 october 1977,1977-10-06
saturday september 13 1997,1997-09-13
29 08 80,1980-08-29
friday april 13 2001,2001-04-13
30 may 1976,1976-05-30
3/8/05,2005-03-08
7/9/90,1990-07-09
22 september 1993,1993-09-22
20 september 2007,2007-09-20
dec 20 1975,1975-12-20
13 may 2007,2007-05-13
6/16/18,2018-06-16
monday august 14 2000,2000-08-14
monday august 29 2011,2011-08-29
aug 21 2017,2017-08-21
friday february 6 1970,1970-02-06
sunday september 16 1990,1990-09-16
april 14 1990,1990-04-14
sunday december 30 2007,2007-12-30
21 jan 2014,2014-01-21
6 apr 2013,2013-04-06
june 11 1988,1988-06-11
26 aug 1973,1973-08-26
21 mar 1970,1970-03-21
jun 5 2002,2002-06-05
3/9/17,2017-03-09
thursday september 3 1992,1992-09-03
december 26 1983,1983-12-26
monday may 11 1987,1987-05-11
saturday june 13 1981,1981-06-13
thursday april 22 1971,1971-04-22
thursday may 19 1983,1983-05-19
20 may 1991,1991-05-20
01 aug 1974,1974-08-01
wednesday august 8 2012,2012-08-08
6 nov 1970,1970-11-06
november 29 2007,2007-11-29
sunday february 19 2006,2006-02-19
23 jan 1991,1991-01-23
tuesday april 18 1972,1972-04-18
april 4 2016,2016-04-04
21 march 1999,1999-03-21
saturday october 21 1972,1972-10-21
10 aug 1970,1970-08-10
24 may 1997,1997-05-24
monday july 20 1981,1981-07-20
tuesday march 18 1975,1975-03-18
5 10 84,1984-10-05
9 may 1992,1992-05-09
2 nov 1987,1987-11-02
sunday october 18 1970,1970-10-18
29 august 1972,1972-08-29
wednesday january 16 1985,1985-01-16
3/28/08,2008-03-28
tuesday december 24 2013,2013-12-24
27 sep 1994,1994-09-27
tuesday march 12 1974,1974-03-12
february 26 1999,1999-02-26
november 26 1991,1991-11-26
monday april 4 2005,2005-04-04
10 jan 1978,1978-01-10
24 jan 1994,1994-01-24
26 september 1983,1983-09-26
7 july 2002,2002-07-07
friday february 15 1991,1991-02-15
10 mar 1998,1998-03-10
sunday january 26 1975,1975-01-26
10 jul 2014,2014-07-10
wednesday july 25 2007,2007-07-25
friday april 4 2008,2008-04-04
31 dec 1998,1998-12-31
wednesday december 13 1995,1995-12-13
17 july 1997,1997-07-17
friday february 16 2001,2001-02-16
tuesday november 16 1976,1976-11-16
tuesday april 6 2004,2004-04-06
wednesday december 15 1971,1971-12-15
tuesday august 5 2003,2003-08-05
saturday may 15 1993,1993-05-15
tuesday august 30 1983,1983-08-30
1/14/02,2002-01-14
wednesday june 16 1971,1971-06-16
20 08 87,1987-08-20
july 17 2014,2014-07-17
2 oct 2007,2007-10-02
saturday november 24 2018,2018-11-24
28 dec 2011,2011-12-28
friday april 26 1996,1996-04-26
monday march 30 1998,1998-03-30
21 feb 2001,2001-02-21
thursday march 29 1984,1984-03-29
sunday october 29 1972,1972-10-29
tuesday may 2 1978,1978-05-02
25 october 2004,2004-10-25
april 11 1991,1991-04-11
23 october 2015,2015-10-23
saturday october 9 1982,1982-10-09
friday july 22 1983,1983-07-22
11 august 1995,1995-08-11
mar 23 2006,2006-03-23
monday january 5 2009,2009-01-05
monday april 1 1996,1996-04-01
sunday april 5 2009,2009-04-05
friday february 19 1988,1988-02-19
22 july 2008,2008-07-22
friday july 3 1987,1987-07-03
4/20/13,2013-04-20
10 dec 1985,1985-12-10
august 7 1972,1972-08-07
26 jul 1972,1972-07-26
sunday august 12 1984,1984-08-12
friday january 27 2012,2012-01-27
22.04.75,1975-04-22
27 jan 1972,1972-01-27
16 dec 2003,2003-12-16
saturday march 29 1975,1975-03-29
1 may 1999,1999-05-01
1 03 95,1995-03-01
dec 2 1975,1975-12-02
monday september 12 2005,2005-09-12
28 october 2004,2004-10-28
06 dec 2004,2004-12-06
21 may 2003,2003-05-21
3/23/78,1978-03-23
2 apr 1986,1986-04-02
january 7 1994,1994-01-07
friday september 14 1973,1973-09-14
26 jan 2008,2008-01-26
sunday december 21 1997,1997-12-21
february 22 1979,1979-02-22
4 feb 2001,2001-02-04
wednesday march 16 1994,1994-03-16
february 5 2007,2007-02-05
friday august 28 1987,1987-08-28
friday june 5 2009,2009-06-05
dec 22 2000,2000-12-22
9 april 2014,2014-04-09
february 25 1970,1970-02-25
friday may 18 1984,1984-05-18
monday october 1 1973,1973-10-01
thursday april 19 1973,1973-04-19
11 mar 1976,1976-03-11
thursday october 4 2007,2007-10-04
08.01.77,1977-01-08
october 28 1984,1984-10-28
18 oct 2012,2012-10-18
friday july 28 2000,2000-07-28
january 19 2004,2004-01-19
tuesday october 30 2018,2018-10-30
sunday january 22 1989,1989-01-22
saturday july 17 2004,2004-07-17
december 9 2009,2009-12-09
december 21 1975,1975-12-21
sep 13 1977,1977-09-13
tuesday june 18 2013,2013-06-18
17 apr 2003,2003-04-17
27 july 2014,2014-07-27
tuesday november 5 2013,2013-11-05
sunday january 13 1991,1991-01-13
january 31 1990,1990-01-31
may 31 1999,1999-05-31
dec 22 1991,1991-12-22
thursday may 18 2017,2017-05-18
monday march 25 2013,2013-03-25
19 03 07,2007-03-19
13 08 78,1978-08-13
monday august 1 2005,2005-08-01
18 09 14,2014-09-18
tuesday july 4 1995,1995-07-04
thursday november 1 1990,1990-11-01
wednesday december 18 1985,1985-12-18
saturday march 20 1971,1971-03-20
friday february 17 2012,2012-02-17
06.08.12,2012-08-06
tuesday april 30 2002,2002-04-30
april 4 2018,2018-04-04
november 12 1983,1983-11-12
nov 19 2018,2018-11-19
monday december 14 1992,1992-12-14
sunday june 19 1977,1977-06-19
24 july 1979,1979-07-24
29 november 1974,1974-11-29
sunday april 2 1972,1972-04-02
saturday december 9 2017,2017-12-09
saturday may 19 2018,2018-05-19
4/11/08,2008-04-11
3 june 1992,1992-06-03
08.06.85,1985-06-08
2 08 77,1977-08-02
friday june 26 2015,2015-06-26
11/12/94,1994-11-12
tuesday february 8 2005,2005-02-08
thursday february 22 1996,1996-02-22
may 21 1991,1991-05-21
15 may 1992,1992-05-15
22 june 2008,2008-06-22
sunday july 20 1980,1980-07-20
18.03.18,2018-03-18
monday september 4 2000,2000-09-04
8 october 2007,2007-10-08
14 sep 1976,1976-09-14
thursday april 16 1998,1998-04-16
16 04 96,1996-04-16
tuesday december 8 1970,1970-12-08
17 april 1992,1992-04-17
19 june 1986,1986-06-19
2/28/84,1984-02-28
6/21/76,1976-06-21
5 april 1979,1979-04-05
december 27 2000,2000-12-27
12 11 78,1978-11-12
27 september 2012,2012-09-27
march 26 1977,1977-03-26
december 17 2010,2010-12-17
december 13 1996,1996-12-13
saturday october 19 1991,1991-10-19
6 may 1977,1977-05-06
17 feb 1991,1991-02-17
29 05 87,1987-05-29
saturday january 16 1988,1988-01-16
december 26 1980,1980-12-26
friday august 8 1980,1980-08-08
19 jan 2017,2017-01-19
23 jun 1977,1977-06-23
june 12 2011,2011-06-12
monday august 6 2012,2012-08-06
01 sep 1985,1985-09-01
07.03.12,2012-03-07
15 apr 1998,1998-04-15
monday october 4 1976,1976-10-04
6 november 2002,2002-11-06
january 3 1988,1988-01-03
3/28/08,2008-03-28
tuesday february 11 2014,2014-02-11
6 08 82,1982-08-06
friday september 8 2000,2000-09-08
10 april 1982,1982-04-10
27 october 1999,1999-10-27
07.08.86,1986-08-07
07 mar 1988,1988-03-07
11 oct 2006,2006-10-11
23 march 1993,1993-03-23
wednesday july 25 1973,1973-07-25
14 may 1989,1989-05-14
jul 2 2010,2010-07-02
friday november 29 1974,1974-11-29
03 dec 2013,2013-12-03
10 april 2011,2011-04-10
january 25 2018,2018-01-25
friday october 2 2009,2009-10-02
mar 23 1988,1988-03-23
thursday august 26 2010,2010-08-26
tuesday july 18 1972,1972-07-18
11 feb 2003,2003-02-11
wednesday september 3 2003,2003-09-03
wednesday september 29 2010,2010-09-29
06.06.04,2004-06-06
wednesday may 25 2011,2011-05-25
11 jun 2009,2009-06-11
december 8 2007,2007-12-08
saturday november 28 1970,1970-11-28
tuesday may 3 2016,2016-05-03
tuesday january 2 1979,1979-01-02
sunday september 26 2010,2010-09-26
sunday january 3 1982,1982-01-03
monday september 25 2017,2017-09-25
24 may 1982,1982-05-24
8 august 2000,2000-08-08
wednesday january 27 1982,1982-01-27
29 apr 1975,1975-04-29
24 01 17,2017-01-24
sunday december 24 2017,2017-12-24
30.01.05,2005-01-30
january 23 1971,1971-01-23
friday august 23 2002,2002-08-23
9/27/15,2015-09-27
wednesday october 11 2017,2017-10-11
2/18/16,2016-02-18
tuesday july 31 1973,1973-07-31
10 oct 1983,1983-10-10
wednesday december 20 1989,1989-12-20
thursday april 13 1978,1978-04-13
sunday september 17 1989,1989-09-17
15 sep 1989,1989-09-15
friday july 8 2005,2005-07-08
saturday june 23 2012,2012-06-23
16 january 2013,2013-01-16
22 oct 2016,2016-10-22
monday december 11 1978,1978-12-11
october 5 2016,2016-10-05
2/8/87,1987-02-08
07 jun 2014,2014-06-07
tuesday june 5 2001,2001-06-05
24.02.07,2007-02-24
oct 23 1970,1970-10-23
14 11 72,1972-11-14
friday december 27 1996,1996-12-27
thursday april 26 1973,1973-04-26
wednesday september 24 2003,2003-09-24
wednesday february 13 2008,2008-02-13
30 september 1977,1977-09-30
wednesday may 31 1989,1989-05-31
sunday march 14 1971,1971-03-14
sunday december 3 1989,1989-12-03
2 jan 1990,1990-01-02
27.07.92,1992-07-27
april 1 2006,2006-04-01
friday april 9 2010,2010-04-09
21 september 2000,2000-09-21
july 31 1972,1972-07-31
october 26 1991,1991-10-26
sunday september 13 1970,1970-09-13
04 jul 1996,1996-07-04
11 jul 2014,2014-07-11
